uid,namedLocation,domainID,siteID,plotID,plotType,pointID,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingImpracticalRemarks,samplingImpractical,eventID,startCloudCoverPercentage,endCloudCoverPercentage,startRH,endRH,observedHabitat,observedAirTemp,kmPerHourObservedWindSpeed,laboratoryName,samplingProtocolVersion,remarks,measuredBy
"2178e8b8-af34-4a21-9604-f2a8b45dff78","BLAN_014.basePlot.brd","D02","BLAN","BLAN_014","distributed","21","pastureHay",39.081458,-77.958693,"WGS84",20.1,120.3,0.1,"2020-06-11T09:27Z",,"OK","BLAN_014.21.2020-06-11",100,65,90,83,"grassland",29,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"a1b97504-667b-4658-a13d-082a7cfdc58e","BLAN_003.basePlot.brd","D02","BLAN","BLAN_003","distributed","21","pastureHay",39.078872,-77.963659,"WGS84",20.1,121.8,0.1,"2020-06-11T09:49Z",,"OK","BLAN_003.21.2020-06-11",100,65,90,83,"grassland",27,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"27da19be-897e-4732-92b6-3a8415dce29e","BLAN_018.basePlot.brd","D02","BLAN","BLAN_018","distributed","21","deciduousForest",39.081529,-77.962499,"WGS84",20.1,139.8,0.2,"2020-06-11T10:06Z",,"OK","BLAN_018.21.2020-06-11",100,65,90,83,"deciduous forest",27,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"cb41f935-e53d-4340-960b-a2311d2499b6","BLAN_006.basePlot.brd","D02","BLAN","BLAN_006","distributed","21","pastureHay",39.083999,-77.963812,"WGS84",20.1,154.4,0.1,"2020-06-11T10:29Z",,"OK","BLAN_006.21.2020-06-11",100,65,90,83,"grassland",27,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"74fed9aa-4025-4cc9-b382-7c0b21801183","BLAN_013.basePlot.brd","D02","BLAN","BLAN_013","distributed","21","deciduousForest",39.080851,-77.968090,"WGS84",20.2,140.5,0.3,"2020-06-11T10:53Z",,"OK","BLAN_013.21.2020-06-11",100,65,90,83,"deciduous forest",27,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"188ec2dd-6ebc-4e26-9306-944e0a15b7a8","BLAN_007.basePlot.brd","D02","BLAN","BLAN_007","distributed","21","deciduousForest",39.085485,-77.969265,"WGS84",20.3,156.3,0.4,"2020-06-11T11:30Z",,"OK","BLAN_007.21.2020-06-11",100,65,90,83,"deciduous forest",26,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"a172bc40-32dd-4743-b175-efa43da989cc","BLAN_005.basePlot.brd","D02","BLAN","BLAN_005","distributed","21","deciduousForest",39.087456,-77.971942,"WGS84",20.1,137.4,0.2,"2020-06-11T11:52Z",,"OK","BLAN_005.21.2020-06-11",100,65,90,83,"deciduous forest",26,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"a720c52a-c195-41d2-a0d6-2f7be7d0c4a4","BLAN_019.basePlot.brd","D02","BLAN","BLAN_019","distributed","21","pastureHay",39.087842,-77.966033,"WGS84",20.1,120.2,0.1,"2020-06-11T12:24Z",,"OK","BLAN_019.21.2020-06-11",100,65,90,83,"grassland",28,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"c0f39175-821b-4df1-9a37-a611065d6ed2","BLAN_004.basePlot.brd","D02","BLAN","BLAN_004","distributed","21","pastureHay",39.087516,-77.962567,"WGS84",20.1,128.4,0.1,"2020-06-11T12:41Z",,"OK","BLAN_004.21.2020-06-11",100,65,90,83,"grassland",29,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"1113bbf7-615d-4cf2-95ac-50dc1b74c431","BLAN_001.basePlot.brd","D02","BLAN","BLAN_001","distributed","21","deciduousForest",39.087919,-77.958389,"WGS84",20.2,128.3,0.3,"2020-06-11T12:57Z",,"OK","BLAN_001.21.2020-06-11",100,65,90,83,"deciduous forest",28,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
