uid,namedLocation,domainID,siteID,plotID,plotType,pointID,startDate,eventID,pointCountMinute,targetTaxaPresent,taxonID,scientificName,taxonRank,vernacularName,observerDistance,detectionMethod,visualConfirmation,sexOrAge,clusterSize,clusterCode,identifiedBy
"3859c563-7842-49ca-a928-7ae5375d5d8d","KONZ_025.birdGrid.brd","D06","KONZ","KONZ_025","distributed","A3","2020-05-14T10:29Z","KONZ_025.A3.2020-05-14",1,"Y","RBWO","Melanerpes carolinus","species","Red-bellied Woodpecker",157,"calling","No","Unknown",1,,"MMCC"
"7f38be0f-7b22-46fd-a50e-9938c71196e8","KONZ_025.birdGrid.brd","D06","KONZ","KONZ_025","distributed","A3","2020-05-14T10:29Z","KONZ_025.A3.2020-05-14",4,"Y","FISP","Spizella pusilla","species","Field Sparrow",153,"singing","No","Unknown",1,,"MMCC"
"d5b1750e-f29f-487e-8784-7084cad6d596","KONZ_025.birdGrid.brd","D06","KONZ","KONZ_025","distributed","A3","2020-05-14T10:29Z","KONZ_025.A3.2020-05-14",2,"Y","DICK","Spiza americana","species","Dickcissel",98,"calling","No","Unknown",2,,"MMCC"
"52fe7c82-a39c-434c-beb1-a3a8da486513","KONZ_025.birdGrid.brd","D06","KONZ","KONZ_025","distributed","A3","2020-05-14T10:29Z","KONZ_025.A3.2020-05-14",2,"Y","EAWP","Contopus virens","species","Eastern Wood-Pewee",106,"singing","No","Unknown",1,,"MMCC"
"201a1186-3dff-41a7-bd43-25b5be260023","KONZ_025.birdGrid.brd","D06","KONZ","KONZ_025","distributed","A3","2020-05-14T10:29Z","KONZ_025.A3.2020-05-14",2,"Y","YEWA","Setophaga petechia","species","Yellow Warbler",119,"singing","No","Unknown",1,,"MMCC"
"633be24e-9f53-412f-a039-ff09e98b3cd8","KONZ_025.birdGrid.brd","D06","KONZ","KONZ_025","distributed","A3","2020-05-14T10:29Z","KONZ_025.A3.2020-05-14",1,"Y","EAME","Sturnella magna","species","Eastern Meadowlark",178,"calling and singing","No","Unknown",1,,"MMCC"
"924cefd5-a259-4acd-8eef-96bed395abf8","KONZ_025.birdGrid.brd","D06","KONZ","KONZ_025","distributed","A3","2020-05-14T10:29Z","KONZ_025.A3.2020-05-14",5,"Y","BGGN","Polioptila caerulea","species","Blue-gray Gnatcatcher",75,"calling","No","Unknown",1,,"MMCC"
"85412243-686b-48ba-8fed-92e6cc380b10","KONZ_025.birdGrid.brd","D06","KONZ","KONZ_025","distributed","A3","2020-05-14T10:29Z","KONZ_025.A3.2020-05-14",6,"Y","CEDW","Bombycilla cedrorum","species","Cedar Waxwing",51,"calling","Yes","Unknown",22,,"MMCC"
"ff05d574-2423-4229-b4c6-cd62dea13cc6","KONZ_025.birdGrid.brd","D06","KONZ","KONZ_025","distributed","A3","2020-05-14T10:29Z","KONZ_025.A3.2020-05-14",1,"Y","NOBO","Colinus virginianus","species","Northern Bobwhite",141,"singing","No","Unknown",1,,"MMCC"
"e155fa2d-110f-4217-a999-ade67adcb809","KONZ_025.birdGrid.brd","D06","KONZ","KONZ_025","distributed","A3","2020-05-14T10:29Z","KONZ_025.A3.2020-05-14",3,"Y","BHCO","Molothrus ater","species","Brown-headed Cowbird",78,"visual","Yes","Unknown",3,,"MMCC"
"17671c6b-4c80-4b2b-be97-c30ec97a8bd7","KONZ_025.birdGrid.brd","D06","KONZ","KONZ_025","distributed","A3","2020-05-14T10:29Z","KONZ_025.A3.2020-05-14",1,"Y","NOBO","Colinus virginianus","species","Northern Bobwhite",125,"singing","No","Unknown",1,,"MMCC"
"4dad14e1-233e-46bf-9a45-64ea4404cc10","KONZ_025.birdGrid.brd","D06","KONZ","KONZ_025","distributed","A3","2020-05-14T10:29Z","KONZ_025.A3.2020-05-14",3,"Y","LEFL","Empidonax minimus","species","Least Flycatcher",76,"singing","No","Unknown",1,,"MMCC"
"449b6027-2575-4a78-8f74-f5dbf1a8fae0","KONZ_025.birdGrid.brd","D06","KONZ","KONZ_025","distributed","A3","2020-05-14T10:29Z","KONZ_025.A3.2020-05-14",1,"Y","MODO","Zenaida macroura","species","Mourning Dove",88,"singing","No","Unknown",1,,"MMCC"
"33da49af-cc1d-4d05-86ac-81d41a816aad","KONZ_025.birdGrid.brd","D06","KONZ","KONZ_025","distributed","A3","2020-05-14T10:29Z","KONZ_025.A3.2020-05-14",1,"Y","MODO","Zenaida macroura","species","Mourning Dove",146,"singing","No","Unknown",1,,"MMCC"
"5a5349d1-e356-46ba-8887-13712113ef14","KONZ_025.birdGrid.brd","D06","KONZ","KONZ_025","distributed","A3","2020-05-14T10:29Z","KONZ_025.A3.2020-05-14",1,"Y","BHCO","Molothrus ater","species","Brown-headed Cowbird",88,"calling","Yes","Male",1,,"MMCC"
