uid,namedLocation,domainID,siteID,plotID,plotType,pointID,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingImpracticalRemarks,samplingImpractical,eventID,startCloudCoverPercentage,endCloudCoverPercentage,startRH,endRH,observedHabitat,observedAirTemp,kmPerHourObservedWindSpeed,laboratoryName,samplingProtocolVersion,remarks,measuredBy
"074e5614-7244-4507-93c5-a51f7a7edd4e","BLAN_001.basePlot.brd","D02","BLAN","BLAN_001","distributed","21","deciduousForest",39.087919,-77.958389,"WGS84",20.2,128.3,0.3,"2019-06-11T09:17Z",,"OK","BLAN_001.21.2019-06-11",25,25,63,65,"deciduous forest",18,8,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"4a484c12-3fa9-4ece-9d1f-a8ecdb93404c","BLAN_004.basePlot.brd","D02","BLAN","BLAN_004","distributed","21","pastureHay",39.087516,-77.962567,"WGS84",20.1,128.4,0.1,"2019-06-11T09:53Z",,"OK","BLAN_004.21.2019-06-11",50,50,76,72,"grassland",18,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"f2736754-fead-49c0-907f-3581a1c185cb","BLAN_015.basePlot.brd","D02","BLAN","BLAN_015","distributed","21","deciduousForest",39.087544,-77.954623,"WGS84",20.1,124.7,0.2,"2019-06-11T10:47Z",,"OK","BLAN_015.21.2019-06-11",15,10,77,75,"deciduous forest",18,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"898566d6-55ae-4b40-a6ea-3ded490292b9","BLAN_014.basePlot.brd","D02","BLAN","BLAN_014","distributed","21","pastureHay",39.081458,-77.958693,"WGS84",20.1,120.3,0.1,"2019-06-11T11:14Z",,"OK","BLAN_014.21.2019-06-11",60,50,70,70,"grassland",19,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"ee002897-b662-4968-80c4-3cdfcdc8eab2","BLAN_018.basePlot.brd","D02","BLAN","BLAN_018","distributed","21","deciduousForest",39.081529,-77.962499,"WGS84",20.1,139.8,0.2,"2019-06-11T11:38Z",,"OK","BLAN_018.21.2019-06-11",10,10,77,77,"deciduous forest",17,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"2a25bba6-3382-4448-bce9-28b761bd512f","BLAN_003.basePlot.brd","D02","BLAN","BLAN_003","distributed","21","pastureHay",39.078872,-77.963659,"WGS84",20.1,121.8,0.1,"2019-06-11T12:02Z",,"OK","BLAN_003.21.2019-06-11",10,30,80,87,"grassland",19,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"3fe6f601-a51b-4977-8ff2-d6c9ba6addef","BLAN_006.basePlot.brd","D02","BLAN","BLAN_006","distributed","21","pastureHay",39.083999,-77.963812,"WGS84",20.1,154.4,0.1,"2019-06-12T09:50Z",,"OK","BLAN_006.21.2019-06-12",20,25,61,91,"grassland",15,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"5616fe15-ffdf-4e97-af09-5e23226df9a8","BLAN_013.basePlot.brd","D02","BLAN","BLAN_013","distributed","21","deciduousForest",39.080851,-77.968090,"WGS84",20.2,140.5,0.3,"2019-06-12T10:18Z",,"OK","BLAN_013.21.2019-06-12",25,30,79,88,"deciduous forest",15,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"9da3741c-3b2f-4588-8e20-27bb69a55b8d","BLAN_007.basePlot.brd","D02","BLAN","BLAN_007","distributed","21","deciduousForest",39.085485,-77.969265,"WGS84",20.3,156.3,0.4,"2019-06-12T11:00Z",,"OK","BLAN_007.21.2019-06-12",30,30,69,86,"deciduous forest",17,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"da948465-9280-44f7-a8ba-e2c659f8240e","BLAN_005.basePlot.brd","D02","BLAN","BLAN_005","distributed","21","deciduousForest",39.087456,-77.971942,"WGS84",20.1,137.4,0.2,"2019-06-12T11:28Z",,"OK","BLAN_005.21.2019-06-12",80,100,79,89,"deciduous forest",16,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
