uid,namedLocation,domainID,siteID,plotID,plotType,pointID,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingImpracticalRemarks,samplingImpractical,eventID,startCloudCoverPercentage,endCloudCoverPercentage,startRH,endRH,observedHabitat,observedAirTemp,kmPerHourObservedWindSpeed,laboratoryName,samplingProtocolVersion,remarks,measuredBy
"853c6183-01d3-42b7-8fb3-1fab9ea5e7d5","SCBI_035.basePlot.brd","D02","SCBI","SCBI_035","distributed","21","pastureHay",38.882888,-78.168813,"WGS84",20.1,300.9,0.1,"2021-05-25T09:56Z",,"OK","SCBI_035.21.2021-05-25",100,100,93,93,"grassland",13,4,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"271c510a-9310-474a-923e-671c1d00aeb6","SCBI_014.basePlot.brd","D02","SCBI","SCBI_014","distributed","21","deciduousForest",38.867075,-78.163552,"WGS84",20.1,390.8,0.2,"2021-05-25T10:31Z",,"OK","SCBI_014.21.2021-05-25",90,90,91,91,"deciduous forest",14,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"ac366e55-5987-4b70-ac00-29a5219462ef","SCBI_003.basePlot.brd","D02","SCBI","SCBI_003","distributed","21","deciduousForest",38.883308,-78.120371,"WGS84",20.2,566.0,0.4,"2021-05-25T11:39Z",,"OK","SCBI_003.21.2021-05-25",100,100,89,89,"deciduous forest",13,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"c4dd5508-6c2d-4145-b920-2ce84d98fb00","SCBI_010.basePlot.brd","D02","SCBI","SCBI_010","distributed","21","deciduousForest",38.884776,-78.125148,"WGS84",20.3,491.9,0.5,"2021-05-25T12:18Z",,"OK","SCBI_010.21.2021-05-25",100,100,92,92,"deciduous forest",13,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"bc2b187a-8ff9-4465-a023-dd02ea68f8e3","SCBI_022.basePlot.brd","D02","SCBI","SCBI_022","distributed","21","deciduousForest",38.882557,-78.123168,"WGS84",20.3,500.6,0.5,"2021-05-25T12:50Z",,"OK","SCBI_022.21.2021-05-25",100,100,93,93,"deciduous forest",14,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"be27e436-f239-468f-aaf6-7f23d3148a5f","SCBI_017.basePlot.brd","D02","SCBI","SCBI_017","distributed","21","deciduousForest",38.879363,-78.135381,"WGS84",20.1,383.3,0.2,"2021-05-25T13:22Z",,"OK","SCBI_017.21.2021-05-25",100,100,93,93,"deciduous forest",15,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"0103dc76-87e3-40bb-9fdc-d5680b383ac9","SCBI_007.basePlot.brd","D02","SCBI","SCBI_007","distributed","21","deciduousForest",38.884909,-78.130305,"WGS84",20.3,409.0,0.5,"2021-05-25T14:07Z",,"OK","SCBI_007.21.2021-05-25",100,100,92,92,"deciduous forest",15,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"be6c2cbf-6c2e-4f2b-99f0-8899eb3df950","SCBI_002.basePlot.brd","D02","SCBI","SCBI_002","distributed","21","deciduousForest",38.895214,-78.142704,"WGS84",20.3,316.0,1.0,"2021-05-25T14:53Z",,"OK","SCBI_002.21.2021-05-25",80,80,88,88,"deciduous forest",17,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"343f833a-19e0-4b7a-875b-878a7ad39881","SCBI_035.basePlot.brd","D02","SCBI","SCBI_035","distributed","21","pastureHay",38.882888,-78.168813,"WGS84",20.1,300.9,0.1,"2021-05-26T10:01Z",,"OK","SCBI_035.21.2021-05-26",100,100,87,87,"grassland",21,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"a15ca555-f399-40c9-834a-c0917273f41f","SCBI_003.basePlot.brd","D02","SCBI","SCBI_003","distributed","21","deciduousForest",38.883308,-78.120371,"WGS84",20.2,566.0,0.4,"2021-05-26T11:31Z",,"OK","SCBI_003.21.2021-05-26",100,100,84,84,"deciduous forest",21,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"2e2d8f99-8eeb-4a47-9f67-e278a5a7e242","SCBI_010.basePlot.brd","D02","SCBI","SCBI_010","distributed","21","deciduousForest",38.884776,-78.125148,"WGS84",20.3,491.9,0.5,"2021-05-26T12:04Z",,"OK","SCBI_010.21.2021-05-26",100,100,82,82,"deciduous forest",22,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"68cb74de-96d3-40a4-8106-77208bd6af5c","SCBI_022.basePlot.brd","D02","SCBI","SCBI_022","distributed","21","deciduousForest",38.882557,-78.123168,"WGS84",20.3,500.6,0.5,"2021-05-26T12:27Z",,"OK","SCBI_022.21.2021-05-26",100,100,87,87,"deciduous forest",22,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"68c68a3a-07dd-4fd4-8521-4e1da0b6818f","SCBI_017.basePlot.brd","D02","SCBI","SCBI_017","distributed","21","deciduousForest",38.879363,-78.135381,"WGS84",20.1,383.3,0.2,"2021-05-26T13:00Z",,"OK","SCBI_017.21.2021-05-26",95,95,88,88,"deciduous forest",24,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"0d090378-fc5b-4be1-81a4-be1bbb5c90c4","SCBI_007.basePlot.brd","D02","SCBI","SCBI_007","distributed","21","deciduousForest",38.884909,-78.130305,"WGS84",20.3,409.0,0.5,"2021-05-26T13:37Z",,"OK","SCBI_007.21.2021-05-26",80,80,85,85,"deciduous forest",24,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"e126a7b2-0f9b-4db4-b7b5-6068517d841a","SCBI_002.basePlot.brd","D02","SCBI","SCBI_002","distributed","21","deciduousForest",38.895214,-78.142704,"WGS84",20.3,316.0,1.0,"2021-05-26T14:22Z",,"OK","SCBI_002.21.2021-05-26",10,10,81,81,"deciduous forest",25,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"c55f83a4-0da9-4097-82b1-edc3e01cd1ee","SCBI_018.basePlot.brd","D02","SCBI","SCBI_018","distributed","21","deciduousForest",38.870965,-78.157532,"WGS84",20.2,372.3,0.3,"2021-05-27T09:56Z",,"OK","SCBI_018.21.2021-05-27",0,0,78,78,"deciduous forest",18,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"3b8f9788-d12f-42ed-a3d8-e851244239a5","SCBI_014.basePlot.brd","D02","SCBI","SCBI_014","distributed","21","deciduousForest",38.867075,-78.163552,"WGS84",20.1,390.8,0.2,"2021-05-27T10:22Z",,"OK","SCBI_014.21.2021-05-27",0,0,86,86,"deciduous forest",17,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
