uid,namedLocation,domainID,siteID,plotID,plotType,pointID,startDate,eventID,pointCountMinute,targetTaxaPresent,taxonID,scientificName,taxonRank,vernacularName,observerDistance,detectionMethod,visualConfirmation,sexOrAge,clusterSize,clusterCode,identifiedBy
"8c3cc82c-e8e5-4f04-aef6-98785794bb23","SERC_017.basePlot.brd","D02","SERC","SERC_017","distributed","21","2019-05-06T11:40Z","SERC_017.21.2019-05-06",3,"Y","NOWA","Parkesia noveboracensis","species","Northern Waterthrush",23,"singing","No","Unknown",1,,"TBELL"
"ba11c335-6828-4d87-b28f-593ae7b665c7","SERC_017.basePlot.brd","D02","SERC","SERC_017","distributed","21","2019-05-06T11:40Z","SERC_017.21.2019-05-06",1,"Y","CARW","Thryothorus ludovicianus","species","Carolina Wren",54,"singing","No","Unknown",1,,"TBELL"
"72c89c3b-1f5e-4183-8009-47f826ea6ad1","SERC_017.basePlot.brd","D02","SERC","SERC_017","distributed","21","2019-05-06T11:40Z","SERC_017.21.2019-05-06",5,"N",,,,,,,,,,,"TBELL"
"92264f57-c0e3-400c-92f4-167341ab8568","SERC_017.basePlot.brd","D02","SERC","SERC_017","distributed","21","2019-05-06T11:40Z","SERC_017.21.2019-05-06",1,"Y","ACFL","Empidonax virescens","species","Acadian Flycatcher",22,"singing","No","Unknown",1,,"TBELL"
"d23ab286-a52d-47c3-93dc-01eb9f859082","SERC_017.basePlot.brd","D02","SERC","SERC_017","distributed","21","2019-05-06T11:40Z","SERC_017.21.2019-05-06",3,"Y","WBNU","Sitta carolinensis","species","White-breasted Nuthatch",45,"singing","No","Unknown",1,,"TBELL"
"1755ae19-2b0d-489f-9b07-e38f7f2cfcef","SERC_017.basePlot.brd","D02","SERC","SERC_017","distributed","21","2019-05-06T11:40Z","SERC_017.21.2019-05-06",3,"Y","ACFL","Empidonax virescens","species","Acadian Flycatcher",12,"singing","Yes","Unknown",1,,"TBELL"
"7b3e1edc-0447-48f0-b371-e4fc15e5dfda","SERC_017.basePlot.brd","D02","SERC","SERC_017","distributed","21","2019-05-06T11:40Z","SERC_017.21.2019-05-06",1,"Y","WOTH","Hylocichla mustelina","species","Wood Thrush",78,"singing","No","Unknown",1,,"TBELL"
"08a710db-9358-4edc-9ef4-e9928b304f23","SERC_017.basePlot.brd","D02","SERC","SERC_017","distributed","21","2019-05-06T11:40Z","SERC_017.21.2019-05-06",4,"Y","NOFL","Colaptes auratus","species","Northern Flicker",58,"singing","No","Unknown",1,,"TBELL"
"4dc8291f-e96a-4bb6-84df-45f6e5f9661c","SERC_017.basePlot.brd","D02","SERC","SERC_017","distributed","21","2019-05-06T11:40Z","SERC_017.21.2019-05-06",1,"Y","RBWO","Melanerpes carolinus","species","Red-bellied Woodpecker",132,"singing","No","Unknown",1,,"TBELL"
"18891711-9ac2-470f-8c87-21eb8a9b2c6c","SERC_017.basePlot.brd","D02","SERC","SERC_017","distributed","21","2019-05-06T11:40Z","SERC_017.21.2019-05-06",1,"Y","CANG","Branta canadensis","species","Canada Goose",150,"singing","No","Unknown",1,,"TBELL"
"704552f6-a393-414b-b349-8ffd92fa8d79","SERC_017.basePlot.brd","D02","SERC","SERC_017","distributed","21","2019-05-06T11:40Z","SERC_017.21.2019-05-06",1,"Y","SCTA","Piranga olivacea","species","Scarlet Tanager",18,"singing","No","Unknown",1,,"TBELL"
"f0657373-1137-4efa-a624-41f04463c2a1","SERC_017.basePlot.brd","D02","SERC","SERC_017","distributed","21","2019-05-06T11:40Z","SERC_017.21.2019-05-06",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",40,"singing","No","Unknown",1,,"TBELL"
"b01dc462-c49c-4943-b49a-d417bf8c5fb8","SERC_017.basePlot.brd","D02","SERC","SERC_017","distributed","21","2019-05-06T11:40Z","SERC_017.21.2019-05-06",1,"Y","NOCA","Cardinalis cardinalis","species","Northern Cardinal",17,"singing","No","Female",1,"A","TBELL"
"a7ded3e1-7796-4e19-b2d1-4e9c5f2365c8","SERC_017.basePlot.brd","D02","SERC","SERC_017","distributed","21","2019-05-06T11:40Z","SERC_017.21.2019-05-06",2,"Y","AMGO","Spinus tristis","species","American Goldfinch",48,"singing","No","Unknown",1,,"TBELL"
"5a29ee16-5fee-410f-9ca4-df86a652ae07","SERC_017.basePlot.brd","D02","SERC","SERC_017","distributed","21","2019-05-06T11:40Z","SERC_017.21.2019-05-06",2,"Y","DOWO","Picoides pubescens","species","Downy Woodpecker",27,"singing","No","Unknown",1,,"TBELL"
"6c415ce1-8830-4a84-9dbc-f04f4cf6a359","SERC_017.basePlot.brd","D02","SERC","SERC_017","distributed","21","2019-05-06T11:40Z","SERC_017.21.2019-05-06",1,"Y","NOCA","Cardinalis cardinalis","species","Northern Cardinal",17,"singing","No","Male",1,"A","TBELL"
"59a5f5c3-72cd-491b-b070-9ace84396aff","SERC_017.basePlot.brd","D02","SERC","SERC_017","distributed","21","2019-05-06T11:40Z","SERC_017.21.2019-05-06",1,"Y","TUTI","Baeolophus bicolor","species","Tufted Titmouse",35,"singing","No","Unknown",1,,"TBELL"
"69315971-e2f1-465d-a27b-315cc95652dc","SERC_010.basePlot.brd","D02","SERC","SERC_010","distributed","21","2019-05-15T09:57Z","SERC_010.21.2019-05-15",3,"Y","WITU","Meleagris gallopavo","species","Wild Turkey",28,"singing","No","Unknown",1,,"TBELL"
"b233f08e-0319-4111-8852-8eb68efd5643","SERC_010.basePlot.brd","D02","SERC","SERC_010","distributed","21","2019-05-15T09:57Z","SERC_010.21.2019-05-15",2,"Y","NOCA","Cardinalis cardinalis","species","Northern Cardinal",25,"singing","No","Unknown",1,,"TBELL"
"ce4b4e7f-f606-4b62-abe9-446c4ae6ddfa","SERC_010.basePlot.brd","D02","SERC","SERC_010","distributed","21","2019-05-15T09:57Z","SERC_010.21.2019-05-15",3,"Y","WOTH","Hylocichla mustelina","species","Wood Thrush",15,"singing","No","Unknown",1,,"TBELL"
"ce339974-6be0-4117-9e9a-c01ff7ea05c8","SERC_010.basePlot.brd","D02","SERC","SERC_010","distributed","21","2019-05-15T09:57Z","SERC_010.21.2019-05-15",1,"Y","EAWP","Contopus virens","species","Eastern Wood-Pewee",15,"singing","No","Unknown",1,,"TBELL"
"f78ca38f-ddb8-4623-aa5a-8c42ef54d519","SERC_010.basePlot.brd","D02","SERC","SERC_010","distributed","21","2019-05-15T09:57Z","SERC_010.21.2019-05-15",1,"Y","NOCA","Cardinalis cardinalis","species","Northern Cardinal",38,"singing","No","Unknown",1,,"TBELL"
"56ef08f7-d421-40a6-801f-572656b16b7b","SERC_010.basePlot.brd","D02","SERC","SERC_010","distributed","21","2019-05-15T09:57Z","SERC_010.21.2019-05-15",1,"Y","ACFL","Empidonax virescens","species","Acadian Flycatcher",11,"singing","No","Unknown",1,,"TBELL"
"4e7674fa-c4be-42c9-9468-27ea741fba4a","SERC_010.basePlot.brd","D02","SERC","SERC_010","distributed","21","2019-05-15T09:57Z","SERC_010.21.2019-05-15",3,"Y","RBWO","Melanerpes carolinus","species","Red-bellied Woodpecker",41,"singing","No","Unknown",1,,"TBELL"
"e7558e42-7cc0-47b7-a115-2ac7c1149d31","SERC_010.basePlot.brd","D02","SERC","SERC_010","distributed","21","2019-05-15T09:57Z","SERC_010.21.2019-05-15",2,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",9,"singing","No","Unknown",1,,"TBELL"
"926824e6-f8bf-457b-a0c0-11e9d9e3dc7f","SERC_010.basePlot.brd","D02","SERC","SERC_010","distributed","21","2019-05-15T09:57Z","SERC_010.21.2019-05-15",2,"Y","CARW","Thryothorus ludovicianus","species","Carolina Wren",33,"singing","No","Unknown",1,,"TBELL"
"cca1d788-6dad-43e7-9db8-60e5bc52584b","SERC_010.basePlot.brd","D02","SERC","SERC_010","distributed","21","2019-05-15T09:57Z","SERC_010.21.2019-05-15",3,"Y","CARW","Thryothorus ludovicianus","species","Carolina Wren",33,"singing","No","Unknown",1,,"TBELL"
"2917c144-8605-4d69-844e-8828e976047b","SERC_010.basePlot.brd","D02","SERC","SERC_010","distributed","21","2019-05-15T09:57Z","SERC_010.21.2019-05-15",6,"Y","HOWA","Setophaga citrina","species","Hooded Warbler",41,"singing","No","Unknown",1,,"TBELL"
"a41cd08f-53ab-49fc-8125-5baf24aaeba8","SERC_010.basePlot.brd","D02","SERC","SERC_010","distributed","21","2019-05-15T09:57Z","SERC_010.21.2019-05-15",1,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird",35,"singing","No","Unknown",1,,"TBELL"
"2703f4b8-bf98-48e1-a6dc-929b8a278ba1","SERC_010.basePlot.brd","D02","SERC","SERC_010","distributed","21","2019-05-15T09:57Z","SERC_010.21.2019-05-15",1,"Y","HOWA","Setophaga citrina","species","Hooded Warbler",19,"singing","No","Unknown",1,,"TBELL"
"062cc8be-d13c-4ff1-ba86-34dfea2dd3ce","SERC_010.basePlot.brd","D02","SERC","SERC_010","distributed","21","2019-05-15T09:57Z","SERC_010.21.2019-05-15",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",17,"singing","No","Unknown",1,,"TBELL"
"f23f87c2-3207-4679-ad91-6f431a2649ba","SERC_010.basePlot.brd","D02","SERC","SERC_010","distributed","21","2019-05-15T09:57Z","SERC_010.21.2019-05-15",5,"Y","MODO","Zenaida macroura","species","Mourning Dove",18,"singing","No","Unknown",1,,"TBELL"
"cdcd5335-12ef-4beb-9a02-3296164a0559","SERC_010.basePlot.brd","D02","SERC","SERC_010","distributed","21","2019-05-15T09:57Z","SERC_010.21.2019-05-15",3,"Y","EAWP","Contopus virens","species","Eastern Wood-Pewee",12,"singing","No","Unknown",1,,"TBELL"
"d0d30115-cac3-48c1-b539-4913171282e1","SERC_010.basePlot.brd","D02","SERC","SERC_010","distributed","21","2019-05-15T09:57Z","SERC_010.21.2019-05-15",1,"Y","COYE","Geothlypis trichas","species","Common Yellowthroat",12,"singing","No","Unknown",1,,"TBELL"
"bb6e97cc-e828-4816-ba76-d15aa5288b91","SERC_010.basePlot.brd","D02","SERC","SERC_010","distributed","21","2019-05-15T09:57Z","SERC_010.21.2019-05-15",4,"Y","ACFL","Empidonax virescens","species","Acadian Flycatcher",22,"singing","No","Unknown",1,,"TBELL"
"87eb81f3-0fd9-4d23-99fb-ac7e76115469","SERC_010.basePlot.brd","D02","SERC","SERC_010","distributed","21","2019-05-15T09:57Z","SERC_010.21.2019-05-15",1,"Y","WOTH","Hylocichla mustelina","species","Wood Thrush",39,"singing","No","Unknown",1,,"TBELL"
