uid,namedLocation,domainID,siteID,plotID,plotType,pointID,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingImpracticalRemarks,samplingImpractical,eventID,startCloudCoverPercentage,endCloudCoverPercentage,startRH,endRH,observedHabitat,observedAirTemp,kmPerHourObservedWindSpeed,laboratoryName,samplingProtocolVersion,remarks,measuredBy
"60b9ab71-001b-48aa-aaca-86d8810ad28a","SERC_017.basePlot.brd","D02","SERC","SERC_017","distributed","21","deciduousForest",38.876039,-76.535565,"WGS84",20.2,4.4,0.2,"2019-05-06T11:40Z",,"OK","SERC_017.21.2019-05-06",100,100,69,65,"mixed deciduous/evergreen forest",14,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"TBELL"
"915b1ab4-35a2-4d5c-9f61-8e0fee733479","SERC_010.basePlot.brd","D02","SERC","SERC_010","distributed","21","deciduousForest",38.909676,-76.546253,"WGS84",20.2,25.4,0.2,"2019-05-15T09:57Z",,"OK","SERC_010.21.2019-05-15",0,0,81,62,"mixed deciduous/evergreen forest",10,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"TBELL"
"a7c064c5-5ee2-4e35-ba78-87776fd38a9c","SERC_006.basePlot.brd","D02","SERC","SERC_006","distributed","21","deciduousForest",38.881090,-76.547314,"WGS84",20.1,3.1,0.1,"2019-05-15T10:35Z",,"OK","SERC_006.21.2019-05-15",0,0,81,62,"mixed deciduous/evergreen forest",12,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"TBELL"
"a2842039-31fc-4d63-aae6-4a4ec30004fb","SERC_025.basePlot.brd","D02","SERC","SERC_025","distributed","21","deciduousForest",38.886410,-76.551826,"WGS84",20.4,16.8,0.8,"2019-05-15T10:53Z",,"OK","SERC_025.21.2019-05-15",0,0,81,62,"mixed deciduous/evergreen forest",11,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"TBELL"
"d11e9513-9570-4ee2-b505-5ded75a5335d","SERC_002.basePlot.brd","D02","SERC","SERC_002","distributed","21","deciduousForest",38.895036,-76.558917,"WGS84",20.1,6.9,0.1,"2019-05-15T11:20Z",,"OK","SERC_002.21.2019-05-15",0,0,81,62,"mixed deciduous/evergreen forest",11,,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"TBELL"
"cab7e95c-37c3-4795-a107-3921ab5f1c10","SERC_009.basePlot.brd","D02","SERC","SERC_009","distributed","21","deciduousForest",38.897571,-76.561169,"WGS84",20.2,17.1,0.2,"2019-05-15T11:39Z",,"OK","SERC_009.21.2019-05-15",0,0,81,62,"mixed deciduous/evergreen forest",11,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"TBELL"
"effb10f9-d79d-4629-ad7c-5ef49830d277","SERC_020.basePlot.brd","D02","SERC","SERC_020","distributed","21","cultivatedCrops",38.870108,-76.535927,"WGS84",20.1,4.9,0.1,"2019-05-15T12:55Z",,"OK","SERC_020.21.2019-05-15",0,0,81,62,"agriculture/rural",16,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"TBELL"
"aa38f8ad-bc94-4aad-9ea3-fc71a19a2166","SERC_001.basePlot.brd","D02","SERC","SERC_001","distributed","21","deciduousForest",38.868693,-76.533585,"WGS84",20.1,6.3,0.2,"2019-05-15T13:10Z",,"OK","SERC_001.21.2019-05-15",0,0,81,62,"mixed deciduous/evergreen forest",19,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"TBELL"
"d1016b36-7f74-430e-85fc-18a27b6fbd37","SERC_014.basePlot.brd","D02","SERC","SERC_014","distributed","21","deciduousForest",38.875995,-76.541096,"WGS84",20.1,2.1,0.2,"2019-05-15T13:37Z",,"OK","SERC_014.21.2019-05-15",0,0,81,62,"mixed deciduous/evergreen forest",16,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"TBELL"
"a201646a-e142-451c-b617-28cd4a751fba","SERC_007.basePlot.brd","D02","SERC","SERC_007","distributed","21","cultivatedCrops",38.873795,-76.539828,"WGS84",20.1,4.1,0.1,"2019-05-15T13:54Z",,"OK","SERC_007.21.2019-05-15",0,0,81,62,"agriculture/rural",17,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"TBELL"
"891e46c6-8d31-449f-ab5c-32ce37730518","SERC_008.basePlot.brd","D02","SERC","SERC_008","distributed","21","cultivatedCrops",38.871838,-76.524078,"WGS84",20.1,2.1,0.1,"2019-05-16T09:56Z",,"OK","SERC_008.21.2019-05-16",100,25,69,65,"agriculture/rural",15,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"TBELL"
