uid,namedLocation,domainID,siteID,plotID,plotType,pointID,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingImpracticalRemarks,samplingImpractical,eventID,startCloudCoverPercentage,endCloudCoverPercentage,startRH,endRH,observedHabitat,observedAirTemp,kmPerHourObservedWindSpeed,laboratoryName,samplingProtocolVersion,remarks,measuredBy
"05e090cd-f537-4fab-ad9b-860925059f10","SERC_008.basePlot.brd","D02","SERC","SERC_008","distributed","21","cultivatedCrops",38.871838,-76.524078,"WGS84",20.1,2.1,0.1,"2021-06-01T09:20Z",,"OK","SERC_008.21.2021-06-01",50,50,88,88,"agriculture/rural",15,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"d12ff128-ec8f-49e7-8bfb-b308a2011e21","SERC_018.basePlot.brd","D02","SERC","SERC_018","distributed","21","cultivatedCrops",38.872927,-76.531608,"WGS84",20.1,6.6,0.1,"2021-06-01T09:38Z",,"OK","SERC_018.21.2021-06-01",60,60,89,89,"agriculture/rural",14,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"e97c6657-18f9-4b15-a86f-aaa3813f0615","SERC_024.basePlot.brd","D02","SERC","SERC_024","distributed","21","deciduousForest",38.865796,-76.528949,"WGS84",20.1,3.9,0.1,"2021-06-01T10:03Z",,"OK","SERC_024.21.2021-06-01",50,50,92,92,"deciduous forest",14,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"bfbd783a-f7d3-46ea-9005-03cf634f0107","SERC_017.basePlot.brd","D02","SERC","SERC_017","distributed","21","deciduousForest",38.876039,-76.535565,"WGS84",20.2,4.4,0.2,"2021-06-01T10:28Z",,"OK","SERC_017.21.2021-06-01",60,60,90,90,"deciduous forest",14,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"280a0828-a172-41b0-b1bc-7d5cffa23972","SERC_020.basePlot.brd","D02","SERC","SERC_020","distributed","21","cultivatedCrops",38.870108,-76.535927,"WGS84",20.1,4.9,0.1,"2021-06-01T10:47Z",,"OK","SERC_020.21.2021-06-01",70,70,88,88,"agriculture/rural",17,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"d444327b-4b26-4dda-b49e-3018c11ee4c2","SERC_001.basePlot.brd","D02","SERC","SERC_001","distributed","21","deciduousForest",38.868693,-76.533585,"WGS84",20.1,6.3,0.2,"2021-06-01T11:03Z",,"OK","SERC_001.21.2021-06-01",50,50,84,84,"deciduous forest",17,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"b8ada586-d44b-4ef0-ae37-92354d4dfe31","SERC_007.basePlot.brd","D02","SERC","SERC_007","distributed","21","cultivatedCrops",38.873795,-76.539828,"WGS84",20.1,4.1,0.1,"2021-06-01T11:32Z",,"OK","SERC_007.21.2021-06-01",50,50,84,84,"agriculture/rural",18,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"54710fb4-6897-4d3d-b006-f940e6cffee1","SERC_014.basePlot.brd","D02","SERC","SERC_014","distributed","21","deciduousForest",38.875995,-76.541096,"WGS84",20.1,2.1,0.2,"2021-06-01T11:49Z",,"OK","SERC_014.21.2021-06-01",60,60,82,82,"deciduous forest",18,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"6a7c9aec-a444-4720-a63f-59ddbe182946","SERC_013.basePlot.brd","D02","SERC","SERC_013","distributed","21","deciduousForest",38.871792,-76.544434,"WGS84",20.2,2.2,0.3,"2021-06-01T12:11Z",,"OK","SERC_013.21.2021-06-01",70,70,84,84,"deciduous forest",18,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"4d11b8f9-ff79-4033-89da-fe8536d95d0f","SERC_019.basePlot.brd","D02","SERC","SERC_019","distributed","21","deciduousForest",38.871775,-76.550692,"WGS84",20.1,17.0,0.2,"2021-06-01T12:30Z",,"OK","SERC_019.21.2021-06-01",70,70,89,89,"deciduous forest",17,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","Cicadas were loud","CEBER"
