uid,namedLocation,domainID,siteID,plotID,plotType,pointID,startDate,eventID,pointCountMinute,targetTaxaPresent,taxonID,scientificName,taxonRank,vernacularName,observerDistance,detectionMethod,visualConfirmation,sexOrAge,clusterSize,clusterCode,identifiedBy
"d65c704e-b179-49d9-a78d-6e2e6da78f0b","KONA_024.basePlot.brd","D06","KONA","KONA_024","distributed","21","2019-06-04T10:41Z","KONA_024.21.2019-06-04",4,"Y","RWBL","Agelaius phoeniceus","species","Red-winged Blackbird",143,"singing","No","Unknown",5,,"RUBIA"
"50cc9b3a-8489-4f78-b614-9c0eec06974a","KONA_024.basePlot.brd","D06","KONA","KONA_024","distributed","21","2019-06-04T10:41Z","KONA_024.21.2019-06-04",5,"Y","EAME","Sturnella magna","species","Eastern Meadowlark",179,"singing","No","Unknown",1,,"RUBIA"
"dea86a37-cd73-4d6a-a676-c8cc689f2940","KONA_024.basePlot.brd","D06","KONA","KONA_024","distributed","21","2019-06-04T10:41Z","KONA_024.21.2019-06-04",2,"Y","RWBL","Agelaius phoeniceus","species","Red-winged Blackbird",152,"singing","No","Unknown",1,,"RUBIA"
"41ccfb06-bb8d-46e0-8288-8f802bb6200f","KONA_024.basePlot.brd","D06","KONA","KONA_024","distributed","21","2019-06-04T10:41Z","KONA_024.21.2019-06-04",1,"Y","RWBL","Agelaius phoeniceus","species","Red-winged Blackbird",196,"singing","No","Unknown",1,,"RUBIA"
"2cc05ca1-c70d-4fd1-867c-7b89fe989478","KONA_024.basePlot.brd","D06","KONA","KONA_024","distributed","21","2019-06-04T10:41Z","KONA_024.21.2019-06-04",88,"Y","EAPH","Sayornis phoebe","species","Eastern Phoebe",,"singing","No","Unknown",1,,"RUBIA"
"6d49f0eb-1c06-4fd5-9f03-4035f26becd9","KONA_024.basePlot.brd","D06","KONA","KONA_024","distributed","21","2019-06-04T10:41Z","KONA_024.21.2019-06-04",1,"Y","EAME","Sturnella magna","species","Eastern Meadowlark",288,"singing","No","Unknown",1,,"RUBIA"
"736d7ba4-0cb4-497c-90ae-7387da8e5f38","KONA_024.basePlot.brd","D06","KONA","KONA_024","distributed","21","2019-06-04T10:41Z","KONA_024.21.2019-06-04",1,"Y","AMRO","Turdus migratorius","species","American Robin",307,"singing","No","Unknown",1,,"RUBIA"
"8f66bb83-2240-4a44-93d8-c5b3e1038cd1","KONA_024.basePlot.brd","D06","KONA","KONA_024","distributed","21","2019-06-04T10:41Z","KONA_024.21.2019-06-04",4,"Y","EUST","Sturnus vulgaris","species","European Starling",338,"singing","No","Unknown",1,,"RUBIA"
"294fad75-045f-4cdc-86c7-0833c085fd0a","KONA_024.basePlot.brd","D06","KONA","KONA_024","distributed","21","2019-06-04T10:41Z","KONA_024.21.2019-06-04",2,"Y","EUST","Sturnus vulgaris","species","European Starling",336,"singing","No","Unknown",3,,"RUBIA"
"f42fae33-9f2a-4626-9b3e-df069707d625","KONA_024.basePlot.brd","D06","KONA","KONA_024","distributed","21","2019-06-04T10:41Z","KONA_024.21.2019-06-04",1,"Y","KILL","Charadrius vociferus","species","Killdeer",130,"calling","No","Unknown",1,,"RUBIA"
"c3e989f0-e3e6-442c-b8e7-ec2e8b855564","KONA_024.basePlot.brd","D06","KONA","KONA_024","distributed","21","2019-06-04T10:41Z","KONA_024.21.2019-06-04",6,"Y","HOLA","Eremophila alpestris","species","Horned Lark",59,"singing","No","Unknown",1,,"RUBIA"
"b722d221-4c43-4c08-89d7-a5bef79683d9","KONA_024.basePlot.brd","D06","KONA","KONA_024","distributed","21","2019-06-04T10:41Z","KONA_024.21.2019-06-04",1,"Y","AMCR","Corvus brachyrhynchos","species","American Crow",323,"calling","No","Unknown",1,,"RUBIA"
"d25ddc19-8293-4ce3-b679-68f1bab651bb","KONA_024.basePlot.brd","D06","KONA","KONA_024","distributed","21","2019-06-04T10:41Z","KONA_024.21.2019-06-04",1,"Y","RWBL","Agelaius phoeniceus","species","Red-winged Blackbird",88,"singing","No","Unknown",1,,"RUBIA"
"adb0402e-5c26-4be9-930e-0ce54c6722ce","KONA_024.basePlot.brd","D06","KONA","KONA_024","distributed","21","2019-06-04T10:41Z","KONA_024.21.2019-06-04",88,"Y","CONI","Chordeiles minor","species","Common Nighthawk",,"calling","No","Unknown",1,,"RUBIA"
"b3fb12a2-3234-42c6-9177-aaf7d20f5780","KONA_024.basePlot.brd","D06","KONA","KONA_024","distributed","21","2019-06-04T10:41Z","KONA_024.21.2019-06-04",3,"Y","DICK","Spiza americana","species","Dickcissel",158,"singing","No","Unknown",1,,"RUBIA"
"dad3f7af-69bf-408b-a25a-551153554726","KONA_024.basePlot.brd","D06","KONA","KONA_024","distributed","21","2019-06-04T10:41Z","KONA_024.21.2019-06-04",1,"Y","HOLA","Eremophila alpestris","species","Horned Lark",64,"singing","No","Unknown",1,,"RUBIA"
"ebf5324b-924b-4575-b037-6cc432c1be99","KONA_024.basePlot.brd","D06","KONA","KONA_024","distributed","21","2019-06-04T10:41Z","KONA_024.21.2019-06-04",6,"Y","COGR","Quiscalus quiscula","species","Common Grackle",194,"visual","Yes","Male",1,,"RUBIA"
