uid,namedLocation,domainID,siteID,plotID,plotType,pointID,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingImpracticalRemarks,samplingImpractical,eventID,startCloudCoverPercentage,endCloudCoverPercentage,startRH,endRH,observedHabitat,observedAirTemp,kmPerHourObservedWindSpeed,laboratoryName,samplingProtocolVersion,remarks,measuredBy
"98c34556-822c-4306-9751-16089a4e97a0","KONA_004.basePlot.brd","D06","KONA","KONA_004","distributed","21","cultivatedCrops",39.124272,-96.637853,"WGS84",20.1,325.8,0.1,"2020-06-03T10:15Z",,"OK","KONA_004.21.2020-06-03",30,20,88,82,"agriculture/rural",22,4,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"52cb96a5-9f2f-454d-b743-cb1cf62e5707","KONA_020.basePlot.brd","D06","KONA","KONA_020","distributed","21","cultivatedCrops",39.126594,-96.639075,"WGS84",20.1,326.4,0.2,"2020-06-03T10:35Z",,"OK","KONA_020.21.2020-06-03",30,20,88,82,"agriculture/rural",22,4,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"6874d736-8712-410c-bc8c-c0f9b3635bfc","KONA_006.basePlot.brd","D06","KONA","KONA_006","distributed","21","cultivatedCrops",39.124964,-96.647329,"WGS84",20.1,354.0,0.1,"2020-06-03T10:59Z",,"OK","KONA_006.21.2020-06-03",30,20,88,82,"agriculture/rural",23,7,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"99d27fdb-df02-4c8b-bd9d-94c78ed04e31","KONA_030.basePlot.brd","D06","KONA","KONA_030","distributed","21","cultivatedCrops",39.126474,-96.644988,"WGS84",20.1,342.8,0.1,"2020-06-03T11:15Z",,"OK","KONA_030.21.2020-06-03",30,20,88,82,"agriculture/rural",23,9,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"cdfa85ac-b606-4bdb-b853-5a6ef7b313c0","KONA_013.basePlot.brd","D06","KONA","KONA_013","distributed","21","cultivatedCrops",39.126668,-96.642020,"WGS84",20.1,332.6,0.2,"2020-06-03T11:33Z",,"OK","KONA_013.21.2020-06-03",30,20,88,82,"agriculture/rural",24,8,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"36604b44-15f5-4682-9902-701be43d66f0","KONA_012.basePlot.brd","D06","KONA","KONA_012","distributed","21","cultivatedCrops",39.122550,-96.641186,"WGS84",20.1,331.2,0.2,"2020-06-03T11:51Z",,"OK","KONA_012.21.2020-06-03",30,20,88,82,"agriculture/rural",24,8,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"346bd0c1-7b5f-46b2-a224-1be00c050fab","KONA_007.basePlot.brd","D06","KONA","KONA_007","distributed","21","cultivatedCrops",39.119701,-96.638655,"WGS84",20.1,326.6,0.1,"2020-06-03T12:08Z",,"OK","KONA_007.21.2020-06-03",30,20,88,82,"agriculture/rural",25,8,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"2cc77207-b4b4-452e-905c-002f48a34ddd","KONA_002.basePlot.brd","D06","KONA","KONA_002","distributed","21","cultivatedCrops",39.115597,-96.638463,"WGS84",20.1,324.0,0.1,"2020-06-03T12:20Z",,"OK","KONA_002.21.2020-06-03",30,20,88,82,"agriculture/rural",26,12,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"f7950831-2322-4236-8a5e-035d07a19b4f","KONA_024.basePlot.brd","D06","KONA","KONA_024","distributed","21","cultivatedCrops",39.209812,-96.594206,"WGS84",20.1,329.9,0.1,"2020-06-03T13:31Z",,"OK","KONA_024.21.2020-06-03",30,20,88,82,"agriculture/rural",27,5,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"383c2fa9-a57d-4a7e-9e77-f433990d3886","KONA_019.basePlot.brd","D06","KONA","KONA_019","distributed","21","cultivatedCrops",39.213041,-96.589511,"WGS84",20.1,325.9,0.1,"2020-06-03T13:53Z",,"OK","KONA_019.21.2020-06-03",30,20,88,82,"agriculture/rural",27,8,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"1844ab2d-33be-4686-ac94-9bbde46185fd","KONA_003.basePlot.brd","D06","KONA","KONA_003","distributed","21","cultivatedCrops",39.215287,-96.599283,"WGS84",20.1,333.9,0.1,"2020-06-03T14:10Z",,"OK","KONA_003.21.2020-06-03",30,20,88,82,"agriculture/rural",28,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
