uid,namedLocation,domainID,siteID,plotID,plotType,pointID,startDate,eventID,pointCountMinute,targetTaxaPresent,taxonID,scientificName,taxonRank,vernacularName,observerDistance,detectionMethod,visualConfirmation,sexOrAge,clusterSize,clusterCode,identifiedBy
"fe7765ab-ad52-4d30-8467-ff28677e0c19","BLAN_001.basePlot.brd","D02","BLAN","BLAN_001","distributed","21","2019-06-11T09:17Z","BLAN_001.21.2019-06-11",88,"Y","COYE","Geothlypis trichas","species","Common Yellowthroat",,"singing","No","Unknown",1,,"DBOLT"
"ff5185da-c52a-43d1-b067-9774bc627da8","BLAN_001.basePlot.brd","D02","BLAN","BLAN_001","distributed","21","2019-06-11T09:17Z","BLAN_001.21.2019-06-11",1,"Y","BGGN","Polioptila caerulea","species","Blue-gray Gnatcatcher",18,"singing","No","Unknown",2,"A","DBOLT"
"aa54a930-6793-4829-857e-1d15d5ca6892","BLAN_001.basePlot.brd","D02","BLAN","BLAN_001","distributed","21","2019-06-11T09:17Z","BLAN_001.21.2019-06-11",88,"Y","ACFL","Empidonax virescens","species","Acadian Flycatcher",,"singing","No","Unknown",1,,"DBOLT"
"9bb6ee2e-f91a-4abb-8951-85a0c96243af","BLAN_001.basePlot.brd","D02","BLAN","BLAN_001","distributed","21","2019-06-11T09:17Z","BLAN_001.21.2019-06-11",88,"Y","CHSP","Spizella passerina","species","Chipping Sparrow",,"singing","No","Unknown",1,,"DBOLT"
"be807305-301f-444c-86aa-9b891c69be6d","BLAN_001.basePlot.brd","D02","BLAN","BLAN_001","distributed","21","2019-06-11T09:17Z","BLAN_001.21.2019-06-11",5,"Y","DOWO","Picoides pubescens","species","Downy Woodpecker",23,"singing","No","Unknown",1,,"DBOLT"
"67b8c136-15b1-470e-9da2-365132f26a55","BLAN_001.basePlot.brd","D02","BLAN","BLAN_001","distributed","21","2019-06-11T09:17Z","BLAN_001.21.2019-06-11",3,"Y","NOCA","Cardinalis cardinalis","species","Northern Cardinal",24,"calling","No","Unknown",1,,"DBOLT"
"2cea2635-7a56-4984-8cce-42ca40355b9f","BLAN_001.basePlot.brd","D02","BLAN","BLAN_001","distributed","21","2019-06-11T09:17Z","BLAN_001.21.2019-06-11",2,"Y","CARW","Thryothorus ludovicianus","species","Carolina Wren",15,"singing","No","Unknown",1,,"DBOLT"
"9ab37b21-e666-4a62-90b0-11cd5660b5ab","BLAN_001.basePlot.brd","D02","BLAN","BLAN_001","distributed","21","2019-06-11T09:17Z","BLAN_001.21.2019-06-11",3,"Y","INBU","Passerina cyanea","species","Indigo Bunting",33,"singing","No","Unknown",1,,"DBOLT"
"052e86e3-0051-4bc4-bfc8-8971b32768d1","BLAN_001.basePlot.brd","D02","BLAN","BLAN_001","distributed","21","2019-06-11T09:17Z","BLAN_001.21.2019-06-11",88,"Y","NOPA","Setophaga americana","species","Northern Parula",,"singing","No","Unknown",1,,"DBOLT"
"4926a792-cc72-4f8b-8f2e-81425987f610","BLAN_001.basePlot.brd","D02","BLAN","BLAN_001","distributed","21","2019-06-11T09:17Z","BLAN_001.21.2019-06-11",6,"Y","OROR","Icterus spurius","species","Orchard Oriole",29,"calling","No","Unknown",1,,"DBOLT"
"63d3b92b-361e-4311-a2c0-284facb7e78e","BLAN_001.basePlot.brd","D02","BLAN","BLAN_001","distributed","21","2019-06-11T09:17Z","BLAN_001.21.2019-06-11",4,"N",,,,,,,,,,,"DBOLT"
"c32f4f3f-f1fb-488d-92af-a15416519c7d","BLAN_001.basePlot.brd","D02","BLAN","BLAN_001","distributed","21","2019-06-11T09:17Z","BLAN_001.21.2019-06-11",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",23,"singing","No","Unknown",1,,"DBOLT"
"1d6ef337-d08f-41f1-bf61-fd69c11228bd","BLAN_001.basePlot.brd","D02","BLAN","BLAN_001","distributed","21","2019-06-11T09:17Z","BLAN_001.21.2019-06-11",88,"Y","EATO","Pipilo erythrophthalmus","species","Eastern Towhee",,"singing","No","Unknown",1,,"DBOLT"
"36661874-8508-489d-8f2f-64d5bd60c64b","BLAN_001.basePlot.brd","D02","BLAN","BLAN_001","distributed","21","2019-06-11T09:17Z","BLAN_001.21.2019-06-11",88,"Y","EAWP","Contopus virens","species","Eastern Wood-Pewee",,"singing","No","Unknown",1,,"DBOLT"
"707a4ce9-dc95-41a2-8044-13816e74f0d6","BLAN_004.basePlot.brd","D02","BLAN","BLAN_004","distributed","21","2019-06-11T09:53Z","BLAN_004.21.2019-06-11",3,"Y","BGGN","Polioptila caerulea","species","Blue-gray Gnatcatcher",23,"calling","No","Unknown",1,,"DBOLT"
"7c203707-f563-4dfc-b36a-0d78ef6807f6","BLAN_004.basePlot.brd","D02","BLAN","BLAN_004","distributed","21","2019-06-11T09:53Z","BLAN_004.21.2019-06-11",5,"N",,,,,,,,,,,"DBOLT"
"cc848c0d-bf4d-4126-87ea-f3e9f1f5cf3e","BLAN_004.basePlot.brd","D02","BLAN","BLAN_004","distributed","21","2019-06-11T09:53Z","BLAN_004.21.2019-06-11",1,"Y","WAVI","Vireo gilvus","species","Warbling Vireo",61,"singing","No","Unknown",1,,"DBOLT"
"1776fe67-7eb6-472f-a42c-53a55586c25a","BLAN_004.basePlot.brd","D02","BLAN","BLAN_004","distributed","21","2019-06-11T09:53Z","BLAN_004.21.2019-06-11",3,"Y","INBU","Passerina cyanea","species","Indigo Bunting",162,"singing","No","Unknown",1,,"DBOLT"
"27549e33-038b-457a-9e43-470149a16afe","BLAN_004.basePlot.brd","D02","BLAN","BLAN_004","distributed","21","2019-06-11T09:53Z","BLAN_004.21.2019-06-11",2,"Y","WAVI","Vireo gilvus","species","Warbling Vireo",171,"singing","No","Unknown",1,,"DBOLT"
"6c9ec5eb-f1bf-4371-a92e-f94729ec3186","BLAN_004.basePlot.brd","D02","BLAN","BLAN_004","distributed","21","2019-06-11T09:53Z","BLAN_004.21.2019-06-11",88,"Y","OROR","Icterus spurius","species","Orchard Oriole",,"singing","No","Unknown",1,,"DBOLT"
"375ccb90-96f2-4941-bef4-0ac1138d6a04","BLAN_004.basePlot.brd","D02","BLAN","BLAN_004","distributed","21","2019-06-11T09:53Z","BLAN_004.21.2019-06-11",6,"Y","MODO","Zenaida macroura","species","Mourning Dove",61,"singing","No","Unknown",1,,"DBOLT"
"4041801d-7630-40d4-939f-3248d85629ae","BLAN_004.basePlot.brd","D02","BLAN","BLAN_004","distributed","21","2019-06-11T09:53Z","BLAN_004.21.2019-06-11",88,"Y","FISP","Spizella pusilla","species","Field Sparrow",,"singing","No","Unknown",1,,"DBOLT"
