uid,namedLocation,domainID,siteID,plotID,plotType,pointID,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingImpracticalRemarks,samplingImpractical,eventID,startCloudCoverPercentage,endCloudCoverPercentage,startRH,endRH,observedHabitat,observedAirTemp,kmPerHourObservedWindSpeed,laboratoryName,samplingProtocolVersion,remarks,measuredBy
"2fa51426-3a6c-4cd8-99d3-aa7a3531aa56","SCBI_023.basePlot.brd","D02","SCBI","SCBI_023","distributed","21","deciduousForest",38.886312,-78.143735,"WGS84",20.2,343.7,0.5,"2019-06-03T09:20Z",,"OK","SCBI_023.21.2019-06-03",0,0,67,80,"deciduous forest",20,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"70a9cb85-782a-4130-885d-9faef88fd84f","SCBI_015.basePlot.brd","D02","SCBI","SCBI_015","distributed","21","deciduousForest",38.884381,-78.141069,"WGS84",20.3,364.3,0.6,"2019-06-03T10:10Z",,"OK","SCBI_015.21.2019-06-03",0,0,96,95,"deciduous forest",14,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"a68b431b-0205-467e-8280-093b83b34b38","SCBI_011.basePlot.brd","D02","SCBI","SCBI_011","distributed","21","deciduousForest",38.879734,-78.139901,"WGS84",20.2,365.0,0.4,"2019-06-03T11:15Z",,"OK","SCBI_011.21.2019-06-03",0,0,91,100,"deciduous forest",18,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"79ba28f2-7d0e-4db9-af96-f42428bff570","SCBI_016.basePlot.brd","D02","SCBI","SCBI_016","distributed","21","deciduousForest",38.904234,-78.158647,"WGS84",20.2,257.8,0.2,"2019-06-03T12:00Z",,"OK","SCBI_016.21.2019-06-03",0,0,100,100,"deciduous forest",16,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"88b41a01-4db0-4b98-bb40-dc41f241cdf3","SCBI_005.basePlot.brd","D02","SCBI","SCBI_005","distributed","21","deciduousForest",38.900538,-78.161860,"WGS84",20.2,270.7,0.3,"2019-06-03T12:42Z",,"OK","SCBI_005.21.2019-06-03",15,50,93,100,"deciduous forest",18,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"3689c720-e093-4efa-b4b1-d7a68ea5dbb6","SCBI_019.basePlot.brd","D02","SCBI","SCBI_019","distributed","21","deciduousForest",38.900642,-78.175704,"WGS84",20.1,304.6,0.1,"2019-06-03T13:47Z",,"OK","SCBI_019.21.2019-06-03",40,45,71,63,"deciduous forest",18,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"9dbecfa2-2b7f-4561-a04e-ca34dde91a05","SCBI_018.basePlot.brd","D02","SCBI","SCBI_018","distributed","21","deciduousForest",38.870965,-78.157532,"WGS84",20.2,372.3,0.3,"2019-06-04T10:00Z",,"OK","SCBI_018.21.2019-06-04",5,5,99,84,"deciduous forest",16,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"833efa60-4279-499a-9743-1213233179f3","SCBI_014.basePlot.brd","D02","SCBI","SCBI_014","distributed","21","deciduousForest",38.867075,-78.163552,"WGS84",20.1,390.8,0.2,"2019-06-04T11:00Z",,"OK","SCBI_014.21.2019-06-04",3,0,62,62,"deciduous forest",16,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"6559bea0-21a3-433b-9628-a92eab956f51","SCBI_035.basePlot.brd","D02","SCBI","SCBI_035","distributed","21","pastureHay",38.882888,-78.168813,"WGS84",20.1,300.9,0.1,"2019-06-04T12:00Z",,"OK","SCBI_035.21.2019-06-04",15,10,60,57,"deciduous forest",19,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"14b2dba8-f909-4d3c-8c02-db95cd1e23d6","SCBI_013.basePlot.brd","D02","SCBI","SCBI_013","distributed","21","deciduousForest",38.874379,-78.163985,"WGS84",20.2,314.3,0.3,"2019-06-04T13:00Z",,"OK","SCBI_013.21.2019-06-04",2,5,60,64,"deciduous forest",23,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"60863dff-0977-4912-a7eb-8c619688ff55","SCBI_004.basePlot.brd","D02","SCBI","SCBI_004","distributed","21","deciduousForest",38.896938,-78.146458,"WGS84",20.5,309.4,0.7,"2019-06-05T09:40Z",,"OK","SCBI_004.21.2019-06-05",0,0,92,90,"deciduous forest",19,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"2d45a18b-848c-43fa-a216-c4265b7e4cc3","SCBI_002.basePlot.brd","D02","SCBI","SCBI_002","distributed","21","deciduousForest",38.895214,-78.142704,"WGS84",20.3,316.0,1.0,"2019-06-05T10:30Z",,"OK","SCBI_002.21.2019-06-05",40,50,92,87,"deciduous forest",20,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"c2c12129-d815-48cb-bc79-24dfdcdeb32d","SCBI_006.basePlot.brd","D02","SCBI","SCBI_006","distributed","21","pastureHay",38.897609,-78.152007,"WGS84",20.1,297.9,0.1,"2019-06-05T11:24Z",,"OK","SCBI_006.21.2019-06-05",40,50,77,79,"deciduous forest",23,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"42d555e1-51c5-4514-9d14-c6c44f00892c","SCBI_043.basePlot.brd","D02","SCBI","SCBI_043","distributed","21","pastureHay",38.890577,-78.151569,"WGS84",20.1,366.7,0.1,"2019-06-05T12:00Z",,"OK","SCBI_043.21.2019-06-05",70,80,76,77,"riparian",21,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"be97be19-2dd7-4c6a-8184-7603c6053752","SCBI_017.basePlot.brd","D02","SCBI","SCBI_017","distributed","21","deciduousForest",38.879363,-78.135381,"WGS84",20.1,383.3,0.2,"2019-06-05T12:35Z",,"OK","SCBI_017.21.2019-06-05",100,100,73,83,"deciduous forest",22,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"b1e2a9da-e27c-4a34-b667-2c986b2e9943","SCBI_011.basePlot.brd","D02","SCBI","SCBI_011","distributed","21","deciduousForest",38.879734,-78.139901,"WGS84",20.2,365.0,0.4,"2019-06-05T13:32Z",,"OK","SCBI_011.21.2019-06-05",100,100,76,74,"deciduous forest",24,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"b5b79e39-5243-4d73-8310-7be26c178557","SCBI_003.basePlot.brd","D02","SCBI","SCBI_003","distributed","21","deciduousForest",38.883308,-78.120371,"WGS84",20.2,566.0,0.4,"2019-06-06T09:41Z",,"OK","SCBI_003.21.2019-06-06",90,90,82,88,"deciduous forest",24,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"5c066761-639f-4ca6-aee6-4f06f7115fab","SCBI_022.basePlot.brd","D02","SCBI","SCBI_022","distributed","21","deciduousForest",38.882557,-78.123168,"WGS84",20.3,500.6,0.5,"2019-06-06T10:15Z",,"OK","SCBI_022.21.2019-06-06",90,80,75,79,"deciduous forest",26,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"9b150737-e755-49ce-b0e3-6ef183580b0b","SCBI_010.basePlot.brd","D02","SCBI","SCBI_010","distributed","21","deciduousForest",38.884776,-78.125148,"WGS84",20.3,491.9,0.5,"2019-06-06T11:09Z",,"OK","SCBI_010.21.2019-06-06",40,30,25,82,"deciduous forest",25,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"9e3ff618-9b43-4c01-9f61-374bddb8cdc0","SCBI_007.basePlot.brd","D02","SCBI","SCBI_007","distributed","21","deciduousForest",38.884909,-78.130305,"WGS84",20.3,409.0,0.5,"2019-06-06T12:20Z",,"OK","SCBI_007.21.2019-06-06",0,0,87,89,"deciduous forest",24,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"8be5eba6-179a-4215-ac53-07c359d2c8f3","SCBI_019.basePlot.brd","D02","SCBI","SCBI_019","distributed","21","deciduousForest",38.900642,-78.175704,"WGS84",20.1,304.6,0.1,"2019-06-06T13:40Z",,"OK","SCBI_019.21.2019-06-06",30,20,89,95,"deciduous forest",25,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"78045574-103c-47c6-8487-5a7545760b62","SCBI_016.basePlot.brd","D02","SCBI","SCBI_016","distributed","21","deciduousForest",38.904234,-78.158647,"WGS84",20.2,257.8,0.2,"2019-06-07T09:35Z",,"OK","SCBI_016.21.2019-06-07",10,0,82,82,"deciduous forest",22,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"a7516f82-b749-41bd-b143-6dcef05b7eb6","SCBI_005.basePlot.brd","D02","SCBI","SCBI_005","distributed","21","deciduousForest",38.900538,-78.161860,"WGS84",20.2,270.7,0.3,"2019-06-07T10:02Z",,"OK","SCBI_005.21.2019-06-07",60,40,91,91,"deciduous forest",20,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"ccd370a8-5bd0-4113-a5a6-24ea175b553b","SCBI_021.basePlot.brd","D02","SCBI","SCBI_021","distributed","21","deciduousForest",38.900853,-78.152880,"WGS84",20.1,318.1,0.1,"2019-06-07T10:55Z",,"OK","SCBI_021.21.2019-06-07",70,60,89,81,"deciduous forest",22,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"ed26fd79-ae3b-4c4a-840c-f7682bfdf283","SCBI_008.basePlot.brd","D02","SCBI","SCBI_008","distributed","21","deciduousForest",38.887763,-78.147164,"WGS84",20.3,336.7,0.4,"2019-06-07T11:50Z",,"OK","SCBI_008.21.2019-06-07",80,90,82,87,"deciduous forest",24,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"a9299f42-020b-4b05-8a0a-5007b894056c","SCBI_023.basePlot.brd","D02","SCBI","SCBI_023","distributed","21","deciduousForest",38.886312,-78.143735,"WGS84",20.2,343.7,0.5,"2019-06-07T12:30Z",,"OK","SCBI_023.21.2019-06-07",60,75,87,80,"deciduous forest",24,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
"579ce1a4-0b63-4652-b092-50915b45a108","SCBI_015.basePlot.brd","D02","SCBI","SCBI_015","distributed","21","deciduousForest",38.884381,-78.141069,"WGS84",20.3,364.3,0.6,"2019-06-07T13:12Z",,"OK","SCBI_015.21.2019-06-07",100,100,93,100,"deciduous forest",22,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"DBOLT"
