uid,namedLocation,domainID,siteID,plotID,plotType,pointID,startDate,eventID,pointCountMinute,targetTaxaPresent,taxonID,scientificName,taxonRank,vernacularName,observerDistance,detectionMethod,visualConfirmation,sexOrAge,clusterSize,clusterCode,identifiedBy
"fb018665-152d-4990-b13d-c34ecf566d99","SERC_008.basePlot.brd","D02","SERC","SERC_008","distributed","21","2021-06-01T09:20Z","SERC_008.21.2021-06-01",1,"Y","TUTI","Baeolophus bicolor","species","Tufted Titmouse",134,"calling","No","Unknown",1,,"CEBER"
"38fa9cac-af68-49d8-9d3f-fbd135b8d0c8","SERC_008.basePlot.brd","D02","SERC","SERC_008","distributed","21","2021-06-01T09:20Z","SERC_008.21.2021-06-01",5,"N",,,,,,,,,,,"CEBER"
"86f983a4-d953-4393-80da-5a31bba9d2ca","SERC_008.basePlot.brd","D02","SERC","SERC_008","distributed","21","2021-06-01T09:20Z","SERC_008.21.2021-06-01",1,"Y","NOCA","Cardinalis cardinalis","species","Northern Cardinal",104,"singing","No","Unknown",1,,"CEBER"
"9cbd13d2-6819-4c0e-bab9-de4945fca522","SERC_008.basePlot.brd","D02","SERC","SERC_008","distributed","21","2021-06-01T09:20Z","SERC_008.21.2021-06-01",6,"N",,,,,,,,,,,"CEBER"
"80909f26-7419-4a90-b779-2be0be3abf7a","SERC_008.basePlot.brd","D02","SERC","SERC_008","distributed","21","2021-06-01T09:20Z","SERC_008.21.2021-06-01",1,"Y","CARW","Thryothorus ludovicianus","species","Carolina Wren",114,"calling","No","Unknown",1,,"CEBER"
"942166a3-1264-4959-bc62-03622515fa3d","SERC_008.basePlot.brd","D02","SERC","SERC_008","distributed","21","2021-06-01T09:20Z","SERC_008.21.2021-06-01",1,"Y","MODO","Zenaida macroura","species","Mourning Dove",90,"singing","No","Unknown",1,,"CEBER"
"fb9798a9-0f81-4d9a-83e0-d4969e7c0945","SERC_008.basePlot.brd","D02","SERC","SERC_008","distributed","21","2021-06-01T09:20Z","SERC_008.21.2021-06-01",4,"Y","NOCA","Cardinalis cardinalis","species","Northern Cardinal",108,"singing","No","Unknown",1,,"CEBER"
"b4524fce-9125-4391-a324-562976160255","SERC_008.basePlot.brd","D02","SERC","SERC_008","distributed","21","2021-06-01T09:20Z","SERC_008.21.2021-06-01",1,"Y","CARW","Thryothorus ludovicianus","species","Carolina Wren",126,"calling","No","Unknown",1,,"CEBER"
"7a978e9a-3f4b-4907-bc43-5dce0155ae9c","SERC_008.basePlot.brd","D02","SERC","SERC_008","distributed","21","2021-06-01T09:20Z","SERC_008.21.2021-06-01",4,"Y","CANG","Branta canadensis","species","Canada Goose",,"flyover","Yes","Unknown",26,,"CEBER"
"b7605ff7-c9c0-4119-ab38-b820167938db","SERC_008.basePlot.brd","D02","SERC","SERC_008","distributed","21","2021-06-01T09:20Z","SERC_008.21.2021-06-01",3,"N",,,,,,,,,,,"CEBER"
