uid,namedLocation,domainID,siteID,plotID,plotType,pointID,startDate,eventID,pointCountMinute,targetTaxaPresent,taxonID,scientificName,taxonRank,vernacularName,observerDistance,detectionMethod,visualConfirmation,sexOrAge,clusterSize,clusterCode,identifiedBy
"64d226c6-6ffc-45cc-8bfa-631d6a2c4f93","KONA_004.basePlot.brd","D06","KONA","KONA_004","distributed","21","2020-06-03T10:15Z","KONA_004.21.2020-06-03",1,"Y","RWBL","Agelaius phoeniceus","species","Red-winged Blackbird",94,"visual","Yes","Male",2,"A","BDEMO"
"a13fa528-4809-4b5f-ac40-c76b25e3ce50","KONA_004.basePlot.brd","D06","KONA","KONA_004","distributed","21","2020-06-03T10:15Z","KONA_004.21.2020-06-03",1,"Y","DICK","Spiza americana","species","Dickcissel",73,"singing","No","Unknown",1,,"BDEMO"
"1399d2cf-3d00-42d4-9617-80024e43d8cf","KONA_004.basePlot.brd","D06","KONA","KONA_004","distributed","21","2020-06-03T10:15Z","KONA_004.21.2020-06-03",1,"Y","AMCR","Corvus brachyrhynchos","species","American Crow",646,"calling","No","Unknown",1,,"BDEMO"
"400eb931-7c8c-443a-82a7-8ce7674d795b","KONA_004.basePlot.brd","D06","KONA","KONA_004","distributed","21","2020-06-03T10:15Z","KONA_004.21.2020-06-03",4,"Y","DICK","Spiza americana","species","Dickcissel",163,"singing","No","Unknown",1,,"BDEMO"
"de54ec96-18e7-4cb5-a8c5-c9f122aefbe9","KONA_004.basePlot.brd","D06","KONA","KONA_004","distributed","21","2020-06-03T10:15Z","KONA_004.21.2020-06-03",2,"Y","EAME","Sturnella magna","species","Eastern Meadowlark",259,"singing","No","Unknown",1,,"BDEMO"
"917433f7-ed91-404d-8683-89423fd5a661","KONA_004.basePlot.brd","D06","KONA","KONA_004","distributed","21","2020-06-03T10:15Z","KONA_004.21.2020-06-03",3,"Y","BHCO","Molothrus ater","species","Brown-headed Cowbird",61,"calling","No","Unknown",1,,"BDEMO"
"4826795e-1ff9-438c-90b9-0407029a18b9","KONA_004.basePlot.brd","D06","KONA","KONA_004","distributed","21","2020-06-03T10:15Z","KONA_004.21.2020-06-03",3,"Y","HOLA","Eremophila alpestris","species","Horned Lark",123,"singing","No","Unknown",1,,"BDEMO"
"0250a974-4b68-4dd5-bc8b-10d9a2648147","KONA_004.basePlot.brd","D06","KONA","KONA_004","distributed","21","2020-06-03T10:15Z","KONA_004.21.2020-06-03",3,"Y","EAME","Sturnella magna","species","Eastern Meadowlark",344,"singing","No","Unknown",1,,"BDEMO"
"a21e88e3-83f1-40fb-829a-3f4664e6c133","KONA_004.basePlot.brd","D06","KONA","KONA_004","distributed","21","2020-06-03T10:15Z","KONA_004.21.2020-06-03",4,"Y","MODO","Zenaida macroura","species","Mourning Dove",285,"calling","No","Unknown",1,,"BDEMO"
"788f6a85-a5e5-4714-9b0b-c465194e12c5","KONA_004.basePlot.brd","D06","KONA","KONA_004","distributed","21","2020-06-03T10:15Z","KONA_004.21.2020-06-03",5,"Y","UPSA","Bartramia longicauda","species","Upland Sandpiper",441,"calling","No","Unknown",1,,"BDEMO"
