uid,namedLocation,domainID,siteID,plotID,plotType,pointID,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingImpracticalRemarks,samplingImpractical,eventID,startCloudCoverPercentage,endCloudCoverPercentage,startRH,endRH,observedHabitat,observedAirTemp,kmPerHourObservedWindSpeed,laboratoryName,samplingProtocolVersion,remarks,measuredBy
"1b7c2703-6b80-458a-9de7-2323e7b491b7","KONZ_025.birdGrid.brd","D06","KONZ","KONZ_025","distributed","A3","deciduousForest",39.103817,-96.595940,"WGS84",250.5,335.4,0.5,"2020-05-14T10:29Z",,"OK","KONZ_025.A3.2020-05-14",20,10,90,78,"grassland",18,6,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"MMCC"
"2f77a5f2-bd81-487c-a71f-369932ef6c8f","KONZ_025.birdGrid.brd","D06","KONZ","KONZ_025","distributed","B3","deciduousForest",39.103817,-96.595940,"WGS84",250.5,335.4,0.5,"2020-05-14T10:43Z",,"OK","KONZ_025.B3.2020-05-14",20,10,90,78,"grassland",18,4,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"MMCC"
"0c62b54c-6790-42bb-83cc-c35a086c4aed","KONZ_025.birdGrid.brd","D06","KONZ","KONZ_025","distributed","C3","deciduousForest",39.103817,-96.595940,"WGS84",250.5,335.4,0.5,"2020-05-14T10:57Z",,"OK","KONZ_025.C3.2020-05-14",20,10,90,78,"riparian",19,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"MMCC"
"bf0756a3-b9a5-44be-86cf-cbf1e9bf7dd9","KONZ_025.birdGrid.brd","D06","KONZ","KONZ_025","distributed","B2","deciduousForest",39.103817,-96.595940,"WGS84",250.5,335.4,0.5,"2020-05-14T11:10Z",,"OK","KONZ_025.B2.2020-05-14",20,10,90,78,"riparian",19,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"MMCC"
"08654dea-ffd1-46dc-a470-afe5b82d19b1","KONZ_025.birdGrid.brd","D06","KONZ","KONZ_025","distributed","C2","deciduousForest",39.103817,-96.595940,"WGS84",250.5,335.4,0.5,"2020-05-14T11:23Z",,"OK","KONZ_025.C2.2020-05-14",20,10,90,78,"grassland",19,10,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"MMCC"
"118ad14c-cffb-4e8d-90b5-a8866364563e","KONZ_025.birdGrid.brd","D06","KONZ","KONZ_025","distributed","C1","deciduousForest",39.103817,-96.595940,"WGS84",250.5,335.4,0.5,"2020-05-14T11:35Z",,"OK","KONZ_025.C1.2020-05-14",20,10,90,78,"grassland",19,11,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"MMCC"
"e53e04d6-7e52-4f1a-aa3e-e01e3857573c","KONZ_025.birdGrid.brd","D06","KONZ","KONZ_025","distributed","B1","deciduousForest",39.103817,-96.595940,"WGS84",250.5,335.4,0.5,"2020-05-14T11:51Z",,"OK","KONZ_025.B1.2020-05-14",20,10,90,78,"shrubland",20,6,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"MMCC"
"515b5ffb-c2d5-4275-80a3-703dabb3da15","KONZ_025.birdGrid.brd","D06","KONZ","KONZ_025","distributed","A1","deciduousForest",39.103817,-96.595940,"WGS84",250.5,335.4,0.5,"2020-05-14T12:07Z",,"OK","KONZ_025.A1.2020-05-14",20,10,90,78,"grassland",20,10,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"MMCC"
"ab50b586-5b69-41d5-937d-8f8618423b88","KONZ_025.birdGrid.brd","D06","KONZ","KONZ_025","distributed","A2","deciduousForest",39.103817,-96.595940,"WGS84",250.5,335.4,0.5,"2020-05-14T12:20Z",,"OK","KONZ_025.A2.2020-05-14",20,10,90,78,"deciduous forest",20,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"MMCC"
"cd859579-4dd3-4018-b382-7d48a1266c8a","KONZ_003.birdGrid.brd","D06","KONZ","KONZ_003","distributed","A3","grasslandHerbaceous",39.087848,-96.570104,"WGS84",250.1,404.8,0.1,"2020-05-15T10:13Z",,"OK","KONZ_003.A3.2020-05-15",30,100,87,92,"grassland",17,10,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"MMCC"
"6d899368-0728-4c4e-8449-fef41fe272cd","KONZ_003.birdGrid.brd","D06","KONZ","KONZ_003","distributed","B3","grasslandHerbaceous",39.087848,-96.570104,"WGS84",250.1,404.8,0.1,"2020-05-15T10:27Z",,"OK","KONZ_003.B3.2020-05-15",30,100,87,92,"shrubland",17,6,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"MMCC"
"cbfd49f3-fc2d-4680-9606-b0d881aae37b","KONZ_003.birdGrid.brd","D06","KONZ","KONZ_003","distributed","C3","grasslandHerbaceous",39.087848,-96.570104,"WGS84",250.1,404.8,0.1,"2020-05-15T10:41Z",,"OK","KONZ_003.C3.2020-05-15",30,100,87,92,"shrubland",18,5,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"MMCC"
"5c6f1010-ead1-4da0-95b2-a93a26c07408","KONZ_003.birdGrid.brd","D06","KONZ","KONZ_003","distributed","C2","grasslandHerbaceous",39.087848,-96.570104,"WGS84",250.1,404.8,0.1,"2020-05-15T10:53Z",,"OK","KONZ_003.C2.2020-05-15",30,100,87,92,"shrubland",18,8,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"MMCC"
"2b8873eb-9aeb-4ae3-a711-0615da62d03f","KONZ_003.birdGrid.brd","D06","KONZ","KONZ_003","distributed","B2","grasslandHerbaceous",39.087848,-96.570104,"WGS84",250.1,404.8,0.1,"2020-05-15T11:04Z",,"OK","KONZ_003.B2.2020-05-15",30,100,87,92,"shrubland",18,13,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"MMCC"
