uid,namedLocation,domainID,siteID,plotID,plotType,pointID,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingImpracticalRemarks,samplingImpractical,eventID,startCloudCoverPercentage,endCloudCoverPercentage,startRH,endRH,observedHabitat,observedAirTemp,kmPerHourObservedWindSpeed,laboratoryName,samplingProtocolVersion,remarks,measuredBy
"da4eb08d-a629-4166-af5f-d38310d7fe20","UKFS_064.birdGrid.brd","D06","UKFS","UKFS_064","distributed","A2","deciduousForest",39.041798,-95.194964,"WGS84",250.1,311.7,0.1,"2020-06-01T10:35Z",,"OK","UKFS_064.A2.2020-06-01",10,5,85,88,"deciduous forest",21,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"30c2a2b8-5237-456a-a48c-ce5655f52174","UKFS_064.birdGrid.brd","D06","UKFS","UKFS_064","distributed","B2","deciduousForest",39.041798,-95.194964,"WGS84",250.1,311.7,0.1,"2020-06-01T10:54Z",,"OK","UKFS_064.B2.2020-06-01",10,5,85,88,"deciduous forest",24,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"a2d89ee3-7550-410d-9a56-fabc72624bfe","UKFS_064.birdGrid.brd","D06","UKFS","UKFS_064","distributed","B3","deciduousForest",39.041798,-95.194964,"WGS84",250.1,311.7,0.1,"2020-06-01T11:10Z",,"OK","UKFS_064.B3.2020-06-01",10,5,85,88,"deciduous forest",21,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"c701863f-ddf5-4faa-aeae-12d6981afe5f","UKFS_064.birdGrid.brd","D06","UKFS","UKFS_064","distributed","A3","deciduousForest",39.041798,-95.194964,"WGS84",250.1,311.7,0.1,"2020-06-01T11:25Z",,"OK","UKFS_064.A3.2020-06-01",10,5,85,88,"deciduous forest",21,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"6e3046a1-f3a4-41a6-bdf0-004c9a3eaf9d","UKFS_004.birdGrid.brd","D06","UKFS","UKFS_004","distributed","C3","deciduousForest",39.042165,-95.204289,"WGS84",250.1,304.3,0.1,"2020-06-01T11:48Z",,"OK","UKFS_004.C3.2020-06-01",5,5,79,82,"deciduous forest",21,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"8ea8e6d9-9a49-4ef7-ad8f-18c526f22f2b","UKFS_004.birdGrid.brd","D06","UKFS","UKFS_004","distributed","C2","deciduousForest",39.042165,-95.204289,"WGS84",250.1,304.3,0.1,"2020-06-01T12:00Z",,"OK","UKFS_004.C2.2020-06-01",5,5,79,82,"riparian",22,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"1fa753fe-2b16-4d1c-8380-d63d42d3a45b","UKFS_004.birdGrid.brd","D06","UKFS","UKFS_004","distributed","C1","deciduousForest",39.042165,-95.204289,"WGS84",250.1,304.3,0.1,"2020-06-01T12:14Z",,"OK","UKFS_004.C1.2020-06-01",5,5,79,82,"evergreen forest",21,5,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ","At pt 3, 'EF' = expansive stand of eastern red cedar. Avg 5.5m tall and ~40% canopy cover over 50m radius. 88 RSHA called persistently for ~2 min. Definitely not BLJA mimicry.","BDEMO"
"bf93531f-06fb-4983-a782-18e854c45729","UKFS_004.birdGrid.brd","D06","UKFS","UKFS_004","distributed","B1","deciduousForest",39.042165,-95.204289,"WGS84",250.1,304.3,0.1,"2020-06-01T12:27Z",,"OK","UKFS_004.B1.2020-06-01",5,5,79,82,"grassland",24,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"284fd631-c3ff-4ee9-a948-7af5793fb7b1","UKFS_004.birdGrid.brd","D06","UKFS","UKFS_004","distributed","A1","deciduousForest",39.042165,-95.204289,"WGS84",250.1,304.3,0.1,"2020-06-01T12:44Z",,"OK","UKFS_004.A1.2020-06-01",5,5,79,82,"deciduous forest",22,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"d2171568-d8f8-49bd-a7fb-c6fc230ee33a","UKFS_004.birdGrid.brd","D06","UKFS","UKFS_004","distributed","A2","deciduousForest",39.042165,-95.204289,"WGS84",250.1,304.3,0.1,"2020-06-01T12:57Z",,"OK","UKFS_004.A2.2020-06-01",5,5,79,82,"deciduous forest",23,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"3111f4fd-7485-447d-945e-be175c962344","UKFS_004.birdGrid.brd","D06","UKFS","UKFS_004","distributed","A3","deciduousForest",39.042165,-95.204289,"WGS84",250.1,304.3,0.1,"2020-06-01T13:13Z",,"OK","UKFS_004.A3.2020-06-01",5,5,79,82,"riparian",25,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"5c351044-aaf9-4aa4-b0be-0a918d1fdb9e","UKFS_004.birdGrid.brd","D06","UKFS","UKFS_004","distributed","B3","deciduousForest",39.042165,-95.204289,"WGS84",250.1,304.3,0.1,"2020-06-01T13:30Z",,"OK","UKFS_004.B3.2020-06-01",5,5,79,82,"deciduous forest",26,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"b2d36163-901f-45f0-92a2-9113ad5d86ac","UKFS_004.birdGrid.brd","D06","UKFS","UKFS_004","distributed","B2","deciduousForest",39.042165,-95.204289,"WGS84",250.1,304.3,0.1,"2020-06-01T13:47Z",,"OK","UKFS_004.B2.2020-06-01",5,5,79,82,"deciduous forest",27,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"7a08e529-b94b-401f-ad27-441f2301c04b","UKFS_013.birdGrid.brd","D06","UKFS","UKFS_013","distributed","A3","deciduousForest",39.051621,-95.200368,"WGS84",250.2,315.6,0.3,"2020-06-02T10:17Z",,"OK","UKFS_013.A3.2020-06-02",15,20,82,76,"deciduous forest",21,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"ccf8528d-073f-4a40-aefc-13067a1e416c","UKFS_013.birdGrid.brd","D06","UKFS","UKFS_013","distributed","A2","deciduousForest",39.051621,-95.200368,"WGS84",250.2,315.6,0.3,"2020-06-02T10:35Z",,"OK","UKFS_013.A2.2020-06-02",15,20,82,76,"riparian",22,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"e8f1240e-38ca-4efa-9a05-fdda62175e8c","UKFS_013.birdGrid.brd","D06","UKFS","UKFS_013","distributed","A1","deciduousForest",39.051621,-95.200368,"WGS84",250.2,315.6,0.3,"2020-06-02T10:56Z",,"OK","UKFS_013.A1.2020-06-02",15,20,82,76,"evergreen forest",24,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"6ddb046f-913a-430d-a308-bbcca9a5d24a","UKFS_013.birdGrid.brd","D06","UKFS","UKFS_013","distributed","B1","deciduousForest",39.051621,-95.200368,"WGS84",250.2,315.6,0.3,"2020-06-02T11:08Z",,"OK","UKFS_013.B1.2020-06-02",15,20,82,76,"deciduous forest",24,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ","DOWO PT 2 min 5 'O' was the sound of tapping while foraging. ID'd by call.","BDEMO"
"4b9177f3-d6df-4a04-9389-a957a2d49424","UKFS_013.birdGrid.brd","D06","UKFS","UKFS_013","distributed","C1","deciduousForest",39.051621,-95.200368,"WGS84",250.2,315.6,0.3,"2020-06-02T11:20Z",,"OK","UKFS_013.C1.2020-06-02",15,20,82,76,"grassland",22,3,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"2b95280f-ce9b-4207-b426-4c54977fffa5","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A3","grasslandHerbaceous",39.055010,-95.190040,"WGS84",250.1,329.2,0.1,"2020-06-02T11:35Z",,"OK","UKFS_025.A3.2020-06-02",20,20,63,71,"grassland",25,5,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"ab00a76b-4993-4514-89aa-88c33bd594e7","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A2","grasslandHerbaceous",39.055010,-95.190040,"WGS84",250.1,329.2,0.1,"2020-06-02T11:47Z",,"OK","UKFS_025.A2.2020-06-02",20,20,63,71,"grassland",25,7,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"603747ee-a967-42d1-ab77-e2f812f3e32e","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A1","grasslandHerbaceous",39.055010,-95.190040,"WGS84",250.1,329.2,0.1,"2020-06-02T12:02Z",,"OK","UKFS_025.A1.2020-06-02",20,20,63,71,"riparian",25,6,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"380bac04-17b4-4051-8df1-5954fec510cf","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","B1","grasslandHerbaceous",39.055010,-95.190040,"WGS84",250.1,329.2,0.1,"2020-06-02T12:15Z",,"OK","UKFS_025.B1.2020-06-02",20,20,63,71,"grassland",24,7,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"598a4055-6315-4de0-a61f-bffedae02be7","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C1","grasslandHerbaceous",39.055010,-95.190040,"WGS84",250.1,329.2,0.1,"2020-06-02T12:26Z",,"OK","UKFS_025.C1.2020-06-02",20,20,63,71,"deciduous forest",25,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"05fc4636-56f9-4b5a-ad5e-d3c3dce29396","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C2","grasslandHerbaceous",39.055010,-95.190040,"WGS84",250.1,329.2,0.1,"2020-06-02T12:38Z",,"OK","UKFS_025.C2.2020-06-02",20,20,63,71,"deciduous forest",25,6,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"650af8c0-57fc-4205-9d7c-bd40a6334683","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C3","grasslandHerbaceous",39.055010,-95.190040,"WGS84",250.1,329.2,0.1,"2020-06-02T12:50Z",,"OK","UKFS_025.C3.2020-06-02",20,20,63,71,"deciduous forest",24,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"07d7a260-d593-40d4-a4f4-df41c5d7c86a","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","B3","grasslandHerbaceous",39.055010,-95.190040,"WGS84",250.1,329.2,0.1,"2020-06-02T13:00Z",,"OK","UKFS_025.B3.2020-06-02",20,20,63,71,"riparian",26,4,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"ff3781b8-4638-45d2-a4c7-db5badbdf625","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","B2","grasslandHerbaceous",39.055010,-95.190040,"WGS84",250.1,329.2,0.1,"2020-06-02T13:14Z",,"OK","UKFS_025.B2.2020-06-02",20,20,63,71,"grassland",26,5,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"8385724a-399a-4ef3-ba71-907560012122","UKFS_013.birdGrid.brd","D06","UKFS","UKFS_013","distributed","C3","deciduousForest",39.051621,-95.200368,"WGS84",250.2,315.6,0.3,"2020-06-02T13:32Z",,"OK","UKFS_013.C3.2020-06-02",15,20,82,76,"grassland",26,3,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"de42e823-398f-415d-8488-01f6b66220c0","UKFS_013.birdGrid.brd","D06","UKFS","UKFS_013","distributed","C2","deciduousForest",39.051621,-95.200368,"WGS84",250.2,315.6,0.3,"2020-06-02T13:49Z",,"OK","UKFS_013.C2.2020-06-02",15,20,82,76,"riparian",26,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ","88 GHOW flushed from roosting tree 19m from pt 6. Lots of whitewash indicates tree is used regularly. Pt 6 low bird count| but presence of RTHA persistently calling agitatedly from 34m and GHOW roost at 19m justifies low singbird presence.","BDEMO"
"3b584cd9-9166-417c-943a-21c057ee3ec4","UKFS_013.birdGrid.brd","D06","UKFS","UKFS_013","distributed","B2","deciduousForest",39.051621,-95.200368,"WGS84",250.2,315.6,0.3,"2020-06-02T14:05Z",,"OK","UKFS_013.B2.2020-06-02",15,20,82,76,"riparian",27,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
"845cf928-f797-4986-b1ab-69b03231a005","UKFS_013.birdGrid.brd","D06","UKFS","UKFS_013","distributed","B3","deciduousForest",39.051621,-95.200368,"WGS84",250.2,315.6,0.3,"2020-06-02T14:16Z",,"OK","UKFS_013.B3.2020-06-02",15,20,82,76,"deciduous forest",27,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"BDEMO"
